5.10  Power Stations in the United Kingdom,,,,,,
            (operational at the end of May 2015)(1),,,,,,
,,,,,,
Company Name,Station Name,Fuel,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",Footnotes
A7 Energy,Greendykeside,Wind,4,2007,Scotland,(2)
A7 Energy,Lochhead,Wind,6,2009,Scotland,(2)
AES,Ballylumford C,CCGT,616,2003,Northern Ireland,
AES,Kilroot,Coal / oil,520,1981,Northern Ireland,
AES,Ballylumford B,Gas,540,1968,Northern Ireland,
AES,Ballylumford B OCGT,Gas oil,116,1968,Northern Ireland,
AES,Kilroot OCGT,Gas oil,142,1981,Northern Ireland,
Beaufort Wind Ltd,Beinn Ghlas,Wind,8,1999,Scotland,(4)
Beaufort Wind Ltd,Bryn Titli,Wind,10,1994,Wales,(4)
Beaufort Wind Ltd,Carno,Wind,34,1996,Wales,(4)
Beaufort Wind Ltd,Kirkby Moor,Wind,5,1993,North West,(4)
Beaufort Wind Ltd,Lambrigg,Wind,7,2000,North West,(4)
Beaufort Wind Ltd,Llyn Alaw,Wind,20,1997,Wales,(4)
Beaufort Wind Ltd,Lochelbank,Wind,10,2010,Scotland,(4)
Beaufort Wind Ltd,Mynydd Gorddu,Wind,10,1996,Wales,(4)
Beaufort Wind Ltd,Novar,Wind,17,1997,Scotland,(4)
Beaufort Wind Ltd,Taff Ely,Wind,9,1993,Wales,(4)
Beaufort Wind Ltd,Tow Law,Wind,2,2001,North East,(4)
Beaufort Wind Ltd,Trysglwyn,Wind,6,1996,Wales,(4)
Beaufort Wind Ltd,Bears Down,Wind,10,2001,South West,(4)
Beaufort Wind Ltd,Farr,Wind,92,2006,Scotland,(4)
Beaufort Wind Ltd,Ffynnon Oer,Wind,32,2006,Wales,(4)
Beaufort Wind Ltd,Windy Standard,Wind,22,1996,Scotland,(4)
Beaufort Wind Ltd,Causeymire,Wind,48,2004,Scotland,(4)
Beaufort Wind Ltd,North Hoyle,Wind (offshore),60,2003,Wales,(4)
BIIF LP,Black Hill,Wind,29,2006,Scotland,
BIIF LP,Wadlow,Wind,26,2012,East,
Braes of Doune Windfarm,Braes of Doune,Wind,72,2007,Scotland,(5)
British Energy,Dungeness B,Nuclear,1050,1983,South East,(6)
British Energy,Hartlepool,Nuclear,1180,1984,North East,(6)
British Energy,Heysham 1,Nuclear,1155,1984,North West,(6)
British Energy,Heysham 2,Nuclear,1230,1988,North West,(6)
British Energy,Hinkley Point B,Nuclear,955,1976,South West,(6)
British Energy,Hunterston B,Nuclear,965,1976,Scotland,(6)
British Energy,Sizewell B,Nuclear,1198,1995,East,(6)
British Energy,Torness,Nuclear,1185,1988,Scotland,(6)
Cemmaes Windfarm Ltd,Cemmaes,Wind,15,2002 (8),Wales,(7)
Centrica,Barry,CCGT,235,1998,Wales,(9)
Centrica,Glanford Brigg,CCGT,150,1993,Yorkshire and the Humber,(9)
Centrica,Killingholme,CCGT,665,1994,Yorkshire and the Humber,
Centrica,Langage,CCGT,905,2010,South West,
Centrica,Peterborough,CCGT,240,1993,East,(9)
Centrica,South Humber Bank,CCGT,1310,1996,Yorkshire and the Humber,
Centrica,Glens of Foudland,Wind,26,2005,Scotland,
Centrica,Inner Dowsing,Wind (offshore),97,2009,East Midlands,
Centrica,Lynn,Wind (offshore),97,2009,East Midlands,
CEP Wind 2 Ltd,Gruig,Wind,25,2009,Northern Ireland,(10)
CEP Wind 3 Ltd,Todmorden,Wind,13,2014,Yorkshire and the Humber,
Cold Northcott Windfarm Ltd,Cold Northcott,Wind,7,1993,South West,(7)
Coolkeeragh ESB Ltd,Coolkeeragh,CCGT,408,2005,Northern Ireland,
Coolkeeragh ESB Ltd,Coolkeeragh OCGT,Gas oil,53,2005,Northern Ireland,
Corby Power Ltd,Corby,CCGT,401,1993,East Midlands,
Dong Energy,Barrow,Wind (offshore),90,2006,North West,(11)
Dong Energy,Burbo Bank,Wind (offshore),90,2009,North West,
Dong Energy,Gunfleet Sands 1,Wind (offshore),108,2010,South East,
Dong Energy,Gunfleet Sands 2,Wind (offshore),65,2010,South East,
Dong Energy,Gunfleet Sands 3,Wind (offshore),12,2013,South East,
Dong Energy,Lincs,Wind (offshore),270,2012,East,(11)
Dong Energy,Walney 1,Wind (offshore),184,2011,North West,(3)
Dong Energy,Walney 2,Wind (offshore),184,2011,North West,(3)
Dong Energy,West of Duddon Sands,Wind (offshore),389,2014,North West,
Dong Energy,Westermost Rough,Wind (offshore),210,2015,South East,
Drax Power Ltd,Drax,Coal / biomass,3870,1974,Yorkshire and the Humber,
Drax Power Ltd,Drax GT,Gas oil,75,1971,Yorkshire and the Humber,
E.On UK,Ironbridge,Biomass,360,1970,West Midlands,
E.On UK,Steven's Croft *,Biomass,50,2007,Scotland,
E.On UK,Blackburn Meadows,Biomass,33,2015,Yorkshire and the Humber,
E.On UK,Castleford,CCGT,56,2002,Yorkshire and the Humber,
E.On UK,Connahs Quay,CCGT,1380,1996,Wales,
E.On UK,Cottam Development Centre,CCGT,395,1999,East Midlands,
E.On UK,Enfield,CCGT,408,1999,London,
E.On UK,Grain CHP *,CCGT,1365,2010,South East,
E.On UK,Killingholme,CCGT,900,1993,Yorkshire and the Humber,
E.On UK,Sandbach,CCGT,56,1999,North West,
E.On UK,Thornhill,CCGT,50,1998,Yorkshire and the Humber,
E.On UK,Ratcliffe,Coal,2000,1968,East Midlands,
E.On UK,Grain GT,Gas oil,55,1978,South East,
E.On UK,Ratcliffe GT,Gas oil,34,1966,East Midlands,
E.On UK,Taylor's Lane GT,Gas oil,144,1979,London,
E.On UK,Askam,Wind,5,1999,North West,(28)
E.On UK,Bowbeat (Emly Bank),Wind,16,2002,Scotland,
E.On UK,Bowbeat (Roughside),Wind,16,2002,Scotland,
E.On UK,Butterwick Moor Circuit 1,Wind,10,2011,North East,
E.On UK,Butterwick Moor Circuit 2,Wind,10,2011,North East,
E.On UK,Camster,Wind,50,2012,Scotland,
E.On UK,Deucheran Hill,Wind,16,2001,Scotland,
E.On UK,Great Eppleton (ex NFFO),Wind,4,2010,North East,
E.On UK,Great Eppleton RO,Wind,4,2010,North East,
E.On UK,Hare Hill,Wind,6,2004,North East,
E.On UK,Haswell Moor Circuit 1,Wind,5,2010,North East,
E.On UK,Haswell Moor Circuit 2,Wind,5,2010,North East,
E.On UK,High Volts,Wind,3,2004,North East,
E.On UK,High Volts RO,Wind,6,2004,North East,
E.On UK,Holmside,Wind,3,2004,North East,
E.On UK,Holmside RO,Wind,3,2004,North East,
E.On UK,Lowca,Wind,5,2000,North West,(29)
E.On UK,Oldside,Wind,5,1996,North West,(30)
E.On UK,Out Newton,Wind,9,2002,Yorkshire and the Humber,
E.On UK,Rhyd y Groes,Wind,7,1992,Wales,(31)
E.On UK,Rosehall,Wind,25,2012,Scotland,
E.On UK,Siddick,Wind,4,1996,North West,(30)
E.On UK,Stags Holt,Wind,20,2007,East,
E.On UK,Tween Bridge,Wind,44,2012,North East,
E.On UK,Blyth T1,Wind (offshore),2,2000,North East,
E.On UK,Blyth T2,Wind (offshore),2,2000,North East,
E.On UK,Robin Rigg East,Wind (offshore),90,2010,Scotland,
E.On UK,Robin Rigg West,Wind (offshore),90,2010,Scotland,
E.On UK,Scroby Sands,Wind (offshore),60,2004,East,
EDF Energy,West Burton CCGT,CCGT,1332,2012,East Midlands,
EDF Energy,Cottam,Coal,2008,1969,East Midlands,
EDF Energy,West Burton,Coal,2012,1967,East Midlands,
EDF Energy,Barkantine Heat & Power Company *,Gas,1,2000,London,
EDF Energy,London Heat & Power Company *,Gas,9,2000,London,
EDF Energy,West Burton GT,Gas oil,40,1967,East Midlands,
EDF Energy Renewables,Bicker Fen,Wind,26,2008,East Midlands,
EDF Energy Renewables,Boundary Lane,Wind,6,2013,North East,
EDF Energy Renewables,Burnfoot Hill,Wind,30,2010,Scotland,
EDF Energy Renewables,Fairfield,Wind,7,2011,North West,
EDF Energy Renewables,Fallago Rig,Wind,144,2013,Scotland,
EDF Energy Renewables,Glass Moor 2,Wind,12,2013,East Midlands,
EDF Energy Renewables,Green Rigg,Wind,36,2012,North East,
EDF Energy Renewables,Longpark,Wind,38,2009,Scotland,
EDF Energy Renewables,Roade,Wind,7,2014,East Midlands,
EDF Energy Renewables,Rusholme,Wind,24,2010,Yorkshire and the Humber,
EDF Energy Renewables,Walkway,Wind,14,2008,North East,
EDF Energy Renewables,Barmoor,Wind,12,2014,North East,
